z1,z12,z15,z2,z4
1494,1777,2163,2698,4800
1491,1770,2132,2725,4836
1505,1788,2127,2633,4872
1489,1820,2141,2702,4831
1495,1806,2163,2749,4892
1484,1794,2169,2727,4955
1551,1792,2168,2754,4849
1539,1733,2188,2767,4827
1581,1730,2176,2738,4868
1532,1731,2162,2799,4839
1520,1745,2185,2754,4926
1516,1747,2205,2746,4851
1510,1757,2198,2749,4886
1508,1753,2231,2793,4884
1506,1743,2171,2742,4832
1557,1741,2186,2754,4762
1566,1750,2197,2733,4798
1534,1785,2177,2784,4849
1520,1771,2204,2798,4829
1518,1776,2209,2792,4785
1535,1765,2216,2750,4831
1520,1741,2156,2735,4853
1517,1729,2151,2753,4867
1543,1740,2177,2777,4835
1548,1749,2206,2799,4773
1543,1764,2209,2770,4787
1534,1777,2169,2753,4870
1538,1770,2175,2751,4820
1519,1765,2184,2794,4763
1507,1754,2178,2790,4686
1540,1779,2178,2750,4733
1533,1780,2210,2729,4802
1524,1746,2226,2765,4765
1498,1735,2205,2767,4764
1506,1777,2166,2739,4787
1506,1778,2142,2818,4756
1468,1781,2144,2789,4760
1494,1795,2158,2786,4751
1495,1748,2157,2822,4804
1541,1745,2168,2789,4705
1543,1772,2164,2799,4787
1499,1746,2171,2790,4844
1491,1762,2115,2803,4759
1509,1766,2107,2809,4816
1507,1758,2107,2741,4805
1506,1740,2115,2714,4831
1514,1760,2109,2727,4847
1521,1774,2091,2739,4912
1503,1752,2100,2809,4866
1535,1711,2108,2755,4882
1511,1722,2123,2784,4846
1531,1706,2168,2795,4793
1517,1722,2189,2804,4768
1508,1728,2135,2818,4779
1491,1716,2200,2819,4787
1500,1736,2240,2819,4845
1514,1744,2221,2878,4837
1489,1750,2199,2850,4777
1503,1780,2163,2790,4780
1494,1762,2160,2729,4826
1484,1745,2123,2739,4800
1505,1717,2119,2743,4838
1488,1730,2158,2723,4792
1477,1768,2193,2700,4804
1474,1756,2167,2722,4838
1482,1814,2172,2708,4825
1492,1810,2176,2720,4853
1477,1813,2187,2719,4793
1478,1824,2165,2695,4848
1482,1829,2166,2729,4795
1485,1786,2163,2719,4838
1501,1774,2188,2739,4887
1508,1818,2196,2749,4949
1481,1846,2253,2789,4904
1493,1812,2245,2774,4942
1469,1796,2270,2769,4881
1455,1787,2248,2795,4940
1465,1793,2267,2795,4943
1476,1794,2212,2797,4891
1484,1797,2185,2751,4875
1490,1807,2179,2820,4875
1493,1776,2176,2789,4878
1496,1757,2190,2784,4867
1476,1753,2199,2800,4826
1480,1737,2189,2811,4898
1478,1750,2151,2797,4922
1453,1773,2155,2785,4918
1462,1807,2167,2782,4873
1480,1794,2157,2711,4887
1494,1798,2175,2763,4831
1507,1787,2206,2708,4793
1490,1783,2169,2708,4833
1495,1777,2189,2727,4860
1506,1760,2214,2713,4868
1474,1774,2175,2670,4861
1484,1746,2212,2693,4865
1477,1777,2209,2689,4891
1450,1749,2186,2730,4891
1490,1755,2194,2730,4870
1514,1766,2247,2672,4876
1512,1686,2195,2761,4843
1504,1719,2199,2741,4859
1502,1694,2196,2743,4837
1502,1700,2213,2727,4780
1507,1695,2194,2721,4681
1530,1739,2163,2718,4689
1484,1717,2134,2720,4777
1422,1728,2165,2714,4789
1426,1739,2173,2748,4802
1443,1777,2195,2708,4845
1480,1759,2239,2734,4794
1476,1744,2228,2722,4837
1474,1770,2193,2734,4809
1515,1743,2204,2735,4822
1507,1760,2183,2732,4786
1528,1753,2160,2737,4849
1476,1732,2184,2767,4866
1498,1765,2124,2813,4833
1490,1739,2152,2802,4840
1490,1780,2126,2762,4892
1477,1784,2119,2825,4951
1526,1779,2156,2837,4946
1509,1779,2160,2794,4885
1518,1758,2161,2723,4889
1518,1764,2177,2765,4819
1506,1736,2178,2748,4843
1500,1742,2166,2826,4868
1498,1751,2143,2776,4880
1485,1720,2186,2737,4904
1501,1719,2185,2738,4870
1516,1708,2178,2745,4891
1507,1726,2164,2760,4871
1498,1723,2164,2835,4914
1518,1731,2157,2835,4936
1517,1765,2113,2775,4956
1526,1753,2138,2749,4935
1534,1731,2167,2735,4899
1522,1730,2166,2773,4940
1497,1713,2166,2731,4890
1529,1697,2132,2756,4871
1512,1679,2130,2752,4937
1518,1698,2132,2723,4984
1548,1719,2138,2739,4933
1543,1694,2161,2750,4877
1565,1718,2142,2732,4915
1555,1738,2176,2762,4938
1546,1728,2214,2776,4830
1533,1754,2213,2731,4834
1547,1731,2176,2723,4852
1553,1724,2222,2724,4825
1558,1737,2250,2736,4878
1535,1704,2229,2762,4803
1578,1693,2217,2751,4824
1523,1684,2246,2733,4836
1508,1714,2229,2718,4795
1516,1744,2267,2726,4818
1534,1754,2251,2744,4764
1537,1780,2260,2715,4823
1520,1741,2206,2740,4808
1523,1741,2190,2697,4839
1519,1729,2235,2717,4754
1513,1749,2252,2722,4726
1533,1754,2252,2713,4693
1512,1758,2233,2698,4654
1514,1776,2246,2737,4662
1495,1786,2219,2767,4729
1486,1786,2237,2809,4793
1489,1734,2213,2778,4803
1501,1776,2181,2744,4751
1501,1755,2196,2749,4780
1503,1729,2206,2774,4779
1495,1757,2225,2750,4760
1511,1771,2205,2727,4773
1520,1793,2184,2713,4807
1507,1794,2159,2729,4851
1518,1802,2172,2714,4887
1522,1814,2197,2697,4914
1517,1756,2173,2680,4934
1500,1734,2186,2690,4963
1474,1702,2173,2711,4852
1448,1731,2162,2711,4872
1441,1715,2174,2687,4885
1434,1752,2179,2716,4856
1455,1741,2149,2722,4847
1446,1759,2202,2685,4926
1430,1755,2204,2701,4874
1428,1738,2224,2734,4848
1450,1743,2189,2704,4842
1440,1744,2170,2690,4827
1426,1807,2127,2681,4818
1452,1773,2168,2753,4844
1426,1794,2197,2762,4789
1450,1714,2225,2749,4663
1435,1724,2221,2731,4659
1463,1769,2193,2751,4638
1465,1727,2167,2781,4682
1458,1761,2114,2832,4740
1451,1746,2154,2742,4772
1482,1730,2156,2747,4797
1495,1756,2154,2719,4805
1488,1756,2121,2749,4855
1452,1775,2148,2738,4879
1443,1778,2187,2706,4866
1450,1749,2211,2681,4835
1457,1751,2211,2729,4784
1444,1764,2185,2703,4802
1483,1762,2202,2749,4844
1466,1757,2159,2740,4771
1512,1760,2157,2719,4781
1501,1763,2182,2716,4775
1504,1734,2152,2745,4839
